ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_25974_89f12fae,25974,,NEM POULET - CHICKEN NEM 8P,0.00,All,ASIA STORE,4.60,9.20
__export__.product_template_21245_0c7203d2,21245,ASI0040,NEMS CHICKEN - 50PC NEMS POULET - 50PC,0.00,Asian Products,ASIA FRERES,19.95,38.96
__export__.product_template_21069_10b09f5b,21069,ASI915,NEMS SHRIMPS - 50PC NEMS CREVETTES -50PC,0.00,Asian Products,ASIA FRERES,23.80,40.76
__export__.product_template_24498_36756712,24498,ASI918,NEMS VEGETABLES - 500G NEMS LÉGUMES - 500G,0.00,Asian Products,ASIA FRERES,6.42,12.90
__export__.product_template_26749_6eef5ada,26749,SC099,NESCAFE GOLD 100G,0.00,All,,0.00,15.18
__export__.product_template_24514_916cae4e,24514,SC102,NESCAFE SP FILTER - 100GR NESCAFE SP FILTRE 100GR,0.00,Dry Goods,METRO,3.66,6.30
__export__.product_template_20951_9ed5b49e,20951,SC0140,"NESCAFE SPECIAL FILTER - 200GR NESCAFE SPECIAL FILTRE, 200GR",0.00,Dry Goods,METRO,7.19,14.38
__export__.product_template_28327_c3ba9c17,28327,SC098,NESCAFFE GOLD DECAFFEINE,0.00,All,,0.00,17.38
__export__.product_template_19693_e4cf404a,19693,NES009,NESPRESSO ARPEGGIO DECA X 10 CAP. NESPRESSO ARPEGGIO DECA X 10 CAP.,0.00,Dry Goods,NESPRESSO FRANCE,4.30,9.90
__export__.product_template_19691_60f5a97b,19691,NES013,NESPRESSO CAPRICCIO X 10 CAPSULES NESPRESSO CAPRICCIO X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.30,6.45
__export__.product_template_19690_7b0e2462,19690,NES002,NESPRESSO COSI X 10 CAPSULES NESPRESSO COSI X 10 CAPSULES,0.00,Dry Goods,NESPRESSO FRANCE,4.30,6.45
__export__.product_template_24626_fed7d482,24626,NES019,NESPRESSO DETERGEANT KIT KIT NETTOYAGE NESPRESSO,0.00,Non Food / Hygiene,NESPRESSO FRANCE,9.00,13.50
__export__.product_template_19697_c861008f,19697,NES010,NESPRESSO FIRENZE ARPEGGIO X 10 CAP NESPRESSO FIRENZE ARPEGGIO X 10 CAP,0.00,Dry Goods,NESPRESSO FRANCE,4.30,8.90
